"","X","value","nrTrObjectsPerClass","resizeSize","resizeMethod","thresholding","nrFeatures","featSelect","pca","Representation"
"206","parzen",0.31768,10,"10","box","true","50","featselp",0.95,"Pixels"
"207","bpxnc",0.6204,10,"10","box","true","50","featselp",0.95,"Pixels"
"208","loglc",0.46,10,"10","box","true","50","featselp",0.95,"Pixels"
"209","knnc",0.32758,10,"10","box","true","50","featselp",0.95,"Pixels"
"210","treec",NA,10,"10","box","true","50","featselp",0.95,"Pixels"
"211","svc",0.36434,10,"10","box","true","50","featselp",0.8,"Pixels"
"212","qdc",0.66889,10,"10","box","true","50","featselp",0.8,"Pixels"
"213","parzen",0.30586,10,"10","box","true","50","featselp",0.8,"Pixels"
"214","bpxnc",0.45889,10,"10","box","true","50","featselp",0.8,"Pixels"
"215","loglc",0.37859,10,"10","box","true","50","featselp",0.8,"Pixels"
"216","knnc",0.36202,10,"10","box","true","50","featselp",0.8,"Pixels"
"217","treec",NA,10,"10","box","true","50","featselp",0.8,"Pixels"
"218","svc",0.36636,10,"10","box","true","0","none",0,"Pixels"
"219","qdc",0.9,10,"10","box","true","0","none",0,"Pixels"
"220","parzen",0.32566,10,"10","box","true","0","none",0,"Pixels"
"221","bpxnc",0.56576,10,"10","box","true","0","none",0,"Pixels"
"222","loglc",0.7696,10,"10","box","true","0","none",0,"Pixels"
"223","knnc",0.33293,10,"10","box","true","0","none",0,"Pixels"
"224","treec",NA,10,"10","box","true","0","none",0,"Pixels"
"225","svc",0.7701,10,"10","nearest","false","5","featselp",0,"Pixels"
"226","qdc",0.8697,10,"10","nearest","false","5","featselp",0,"Pixels"
"227","parzen",0.60798,10,"10","nearest","false","5","featselp",0,"Pixels"
"228","bpxnc",0.64434,10,"10","nearest","false","5","featselp",0,"Pixels"
"229","loglc",0.61848,10,"10","nearest","false","5","featselp",0,"Pixels"
"230","knnc",0.64202,10,"10","nearest","false","5","featselp",0,"Pixels"
"231","treec",NA,10,"10","nearest","false","5","featselp",0,"Pixels"
"232","svc",0.74586,10,"10","nearest","false","5","featselp",0.95,"Pixels"
"233","qdc",0.8697,10,"10","nearest","false","5","featselp",0.95,"Pixels"
"234","parzen",0.60727,10,"10","nearest","false","5","featselp",0.95,"Pixels"
"235","bpxnc",0.59859,10,"10","nearest","false","5","featselp",0.95,"Pixels"
"236","loglc",0.61848,10,"10","nearest","false","5","featselp",0.95,"Pixels"
"237","knnc",0.68071,10,"10","nearest","false","5","featselp",0.95,"Pixels"
"238","treec",NA,10,"10","nearest","false","5","featselp",0.95,"Pixels"
"239","svc",0.70354,10,"10","nearest","false","5","featselp",0.8,"Pixels"
"240","qdc",0.86879,10,"10","nearest","false","5","featselp",0.8,"Pixels"
"241","parzen",0.60788,10,"10","nearest","false","5","featselp",0.8,"Pixels"
"242","bpxnc",0.62394,10,"10","nearest","false","5","featselp",0.8,"Pixels"
"243","loglc",0.64333,10,"10","nearest","false","5","featselp",0.8,"Pixels"
"244","knnc",0.61162,10,"10","nearest","false","5","featselp",0.8,"Pixels"
"245","treec",NA,10,"10","nearest","false","5","featselp",0.8,"Pixels"
"246","svc",0.4297,10,"10","nearest","false","20","featselp",0,"Pixels"
"247","qdc",0.89384,10,"10","nearest","false","20","featselp",0,"Pixels"
"248","parzen",0.40303,10,"10","nearest","false","20","featselp",0,"Pixels"
"249","bpxnc",0.63404,10,"10","nearest","false","20","featselp",0,"Pixels"
"250","loglc",0.53879,10,"10","nearest","false","20","featselp",0,"Pixels"
"251","knnc",0.43162,10,"10","nearest","false","20","featselp",0,"Pixels"
"252","treec",NA,10,"10","nearest","false","20","featselp",0,"Pixels"
"253","svc",0.39566,10,"10","nearest","false","20","featselp",0.95,"Pixels"
"254","qdc",0.8803,10,"10","nearest","false","20","featselp",0.95,"Pixels"
"255","parzen",0.39455,10,"10","nearest","false","20","featselp",0.95,"Pixels"
"256","bpxnc",0.56323,10,"10","nearest","false","20","featselp",0.95,"Pixels"
"257","loglc",0.49131,10,"10","nearest","false","20","featselp",0.95,"Pixels"
"258","knnc",0.41687,10,"10","nearest","false","20","featselp",0.95,"Pixels"
"259","treec",NA,10,"10","nearest","false","20","featselp",0.95,"Pixels"
"260","svc",0.39939,10,"10","nearest","false","20","featselp",0.8,"Pixels"
"261","qdc",0.65869,10,"10","nearest","false","20","featselp",0.8,"Pixels"
"262","parzen",0.3901,10,"10","nearest","false","20","featselp",0.8,"Pixels"
"263","bpxnc",0.56616,10,"10","nearest","false","20","featselp",0.8,"Pixels"
"264","loglc",0.41303,10,"10","nearest","false","20","featselp",0.8,"Pixels"
"265","knnc",0.43202,10,"10","nearest","false","20","featselp",0.8,"Pixels"
"266","treec",NA,10,"10","nearest","false","20","featselp",0.8,"Pixels"
"267","svc",0.41626,10,"10","nearest","false","50","featselp",0,"Pixels"
"268","qdc",0.88606,10,"10","nearest","false","50","featselp",0,"Pixels"
